ig_book,ig_no,phi_no,header,location,tqp,taq,cross_cen,tpq_bce,taq_bce,tpq_cen,taq_cen,analysis_cen,token
IG II²,223,2441,"[ ]
Att. — non-stoich. — 343/2 — IG II² 223 Add. (pt. 1.2 p. 659)

See also:
IG II³,1 306Agora XV 34",Athens,343,342,FALSE,TRUE,TRUE,400,400,400,τυχηι
IG II²,223,2441,"[ ]
Att. — non-stoich. — 343/2 — IG II² 223 Add. (pt. 1.2 p. 659)

See also:
IG II³,1 306Agora XV 34",Athens,343,342,FALSE,TRUE,TRUE,400,400,400,τυχηι
IG II²,244,2462,"[ ]
Att. — stoich. 110 — 337/6

See also:
IG II³,1 429Schwenk, Athens 3SEG 19:57SEG 35:62",Athens,337,336,FALSE,TRUE,TRUE,400,400,400,τυχηι
IG II²,333,2550,"[ ]
Att. — stoich. — 335/4

See also:
IG II³,1 445Schwenk, Athens 21",Athens,335,334,FALSE,TRUE,TRUE,400,400,400,τυχηι
IG II²,333,2550,"[ ]
Att. — stoich. — 335/4

See also:
IG II³,1 445Schwenk, Athens 21",Athens,335,334,FALSE,TRUE,TRUE,400,400,400,τυχης
IG II²,338,2555,"[ ]
Att. — stoich. 35 — 333/2

See also:
IG II³,1 338Schwenk, Athens 28Epigr. tou Oropou 295",Athens,333,332,FALSE,TRUE,TRUE,400,400,400,τυχηι
IG II²,354,2571,"[ ]
Att. — stoich. 34 — 328/7

See also:
Schwenk, Athens 54SEG 18:14SEG 21:285",Athens,328,327,FALSE,TRUE,TRUE,400,400,400,τυχηι
IG II²,360,2577,"[ ]
Att. — stoich. 39 — 325/4 — IG II² 360 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 367Schwenk, Athens 68",Athens,325,324,FALSE,TRUE,TRUE,400,400,400,ατυχησει
IG II²,448,2666,"[ ]
Att. — stoich. 41 — 323/2

See also:
SEG 32:90SEG 21:297SEG 22:95IG II³,1 378SEG 21:317Schwenk, Athens 83",Athens,323,322,FALSE,TRUE,TRUE,400,400,400,ατυχη
IG II²,1191,3406,"[ ]
Att. — stoich. — ac 321/20

See also:
I.Eleusis 95",Eleusis,321,320,FALSE,TRUE,TRUE,400,400,400,τυχη
IG VII,1,143477,"[ ]
Megaris — Megara — after 306 BC

See also:
SEG 33:350bis",Megara,306,NA,NA,TRUE,TRUE,400,NA,400,τυχαι
IG VII,2,143478,"[ ]
Megaris — Megara — after 306 BC",Megara,306,NA,NA,TRUE,TRUE,400,NA,400,τυχαι
IG VII,3,143479,"[ ]
Megaris — Megara — after 306 BC",Megara,306,NA,NA,TRUE,TRUE,400,NA,400,τυχαι
IG VII,4,143480,"[ ]
Megaris — Megara — after 306 BC",Megara,306,NA,NA,TRUE,TRUE,400,NA,400,τυχαι
IG VII,5,143481,"[ ]
Megaris — Megara — after 306 BC",Megara,306,NA,NA,TRUE,TRUE,400,NA,400,τυχαι
IG VII,6,143482,"[ ]
Megaris — Megara — after 306 BC",Megara,306,NA,NA,TRUE,TRUE,400,NA,400,τυχαι
IG VII,7,143483,"[ ]
Megaris — Megara — after 306 BC",Megara,306,NA,NA,TRUE,TRUE,400,NA,400,τυχαι
IG VII,8,143484,"[ ]
Megaris — Megara — early 3rd c. BC",Megara,300,250,FALSE,TRUE,TRUE,300,300,300,τυχαι
IG VII,9,143485,"[ ]
Megaris — Megara — early 3rd c. BC",Megara,300,250,FALSE,TRUE,TRUE,300,300,300,τυχαι
IG VII,10,143486,"[ ]
Megaris — Megara — early 3rd c. BC",Megara,300,250,FALSE,TRUE,TRUE,300,300,300,τυχαι
IG VII,12,143488,"[ ]
Megaris — Megara — early 3rd c. BC",Megara,300,250,FALSE,TRUE,TRUE,300,300,300,τυχαι
IG VII,13,143489,"[ ]
Megaris — Megara — early 3rd c. BC",Megara,300,250,FALSE,TRUE,TRUE,300,300,300,τυχαι
IG VII,14,143490,"[ ]
Megaris — Megara — early 3rd c. BC",Megara,300,250,FALSE,TRUE,TRUE,300,300,300,τυχαι
IG VII,43,143519,"[ ]
Megaris — Megara — 3rd c. BC",Megara,300,250,FALSE,TRUE,TRUE,300,300,300,τυχηι
IG VII,223,143700,"[ ]
Megaris — Aigosthena — 192-146 BC",Aigosthena,192,146,FALSE,TRUE,TRUE,200,200,200,τυχαι
IG VII,537,144015,"[ ]
Boiotia — Tanagra — 4th/3rd c. BC",Tanagra,400,201,TRUE,TRUE,TRUE,400,300,300,τυχανοριος
IG VII,3499,147020,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — 333/332 BC — IG VII 3499 — IG II² 338 — Syll.³ 281

See also:
IG II³,1 338IG II² 338",Oropos,333,332,FALSE,TRUE,TRUE,400,400,400,τυχηι
IG VII,4252,147774,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — 332/331 BC — IG VII 4252

See also:
IG II³,1 349",Oropos,332,331,FALSE,TRUE,TRUE,400,400,400,τυχηι
IG VII,4256,147778,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — 322-313 BC — IG VII 4256

See also:
SEG 51:585bis(4)",Oropos,322,313,FALSE,TRUE,TRUE,400,400,400,τυχηι
IG VII,4257,147779,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — 322-313 BC — IG VII 4257

See also:
SEG 51:585bis(5)",Oropos,322,313,FALSE,TRUE,TRUE,400,400,400,τυχηι
