ig_book,ig_no,phi_no,header,location,tqp,taq,cross_cen,tpq_bce,taq_bce,tpq_cen,taq_cen,analysis_cen,text
IG I³,503/504,518,"[ ]
Att. — Athens — non-stoich. — s. IV a. — IG I² 763+ [SEG 10.404] — + SEG 16.22 + 13.34 + 40.28",Athens,400,301,FALSE,TRUE,TRUE,400,400,400," ανδρον τονδ’ αρετε[] αιει, [] / ⁷[]ν[]ρ[] εσχον γαρ πεζοι τε []ν ⋮ / hελλα[]ε πασαν δουλι⌊ον εμαρ ιδεν ⋮⌋    εν αρα τοισζ’ αδαμ[] hοτ’ αιχμεν / στεσαμ προσθε πυλον αν[] ανχιαλομ πρεσαι ρ[] / αστυ βιαι Περσον κλιναμενο[]   / []ζοι τε και ⁷[] []ο νεσοι / []βαλον    {²     }² ]  / τεσ— ⏕ –⏕ —μεμ Παλλαδος hιπο[] ουθαρ δ’ απειρο πορτιτροφο ακρον εχοντες  / τοισιμ πανθαλες ολβος επιστρε|[]    {²   ;   }²     {² ,     (  ) }² — — —ος αφθι— — — — — — νεμωσι θεοι· — — — ωκυπορων επι νηων — — —ον ημαρ ιδειν"
IG I³,1057,1198,"[ ]
Att. — Ath.: Lesche — s. V/IV a. — IG I² 886",Athens,500,301,TRUE,TRUE,TRUE,500,400,400,hιερον Διος Ξενιο Θυμαιτιδος φρατριας 
IG I³,1059,1201,"[ ]
Att. — Ath.: Od. H.Phillipou — s. V/IV a. — AD 20 B1 (1965) 54 [SEG 24.208]",Athens,500,301,TRUE,TRUE,TRUE,500,400,400,hορος ιερο Η〚ρ〛ρακλεο〚σ〛ς {²⁶Ηρακλεος}²⁶
IG I³,1074,1217,"[ ]
Att. — Ath.: Agora — c. 400 a. — Hsp. 10.1941.39 [SEG 10.359] — Ag.19.25,H17",Athens,400,400,FALSE,TRUE,TRUE,400,400,400,hορ[] ιερο
IG I²,165,1754,"[ ]
Att. — Ath.: Od.Evangelistrias? — c. 2nd ac — IG I³, p.972",Athens,200,101,FALSE,TRUE,TRUE,200,200,200,"․․․․οτο— — — — — — — — — ․․․ρτ— — — ․․ν hο δ․․ε— — — []τον επ[] εδε— — — []ατασκ[]ε, hο[] μεν τ— — — []ιυτ[]ς τ[]ν[]ε[]αι προ— — — []οι δε βολομενοι νευσ— — — ․․ν τεχνει []⁷[] δε συν Αθ[]                  — — — hιερεος — — —                  — — —ις να․․․․⁷— — —"
IG I²,561,1760,"[ ]
Att. — Ath.: Akr. — stoich. 15 — 4th c. BC — IG I³, p. 972",Athens,400,301,FALSE,TRUE,TRUE,400,400,400,— — — Αχαρνεος θυγατη[] Αθηναιαι Εργανηι ανεθεκεν
IG I²,774,1764,"[ ]
Att. — Ath.: Akr. — stoich. — 4th c. BC — IG I³, p. 972",Athens,400,301,FALSE,TRUE,TRUE,400,400,400,[]δ[]κε⁷[]ελεν α[]εσοι αργυριο α[]εθηκεν
IG I²,845,1778,"[ ]
Att. — Ath.: prov.? — 4th c. BC — Sokolowski, LS 16",Athens,400,301,FALSE,TRUE,TRUE,400,400,400,"     — — —      []     []ρ[]ακαδι μι[]      [] κηρυκοιν []     ο Ελευσιν[]      Οινοησι Αρτ[] ΙΔΔΔ τριττοια[] β[]     μει, ζευ[]      ιερεαι Απολλ[]      Διι Μοριω[] τρ[]      βοαρχον — — —     Αθεναιαι Οι[]     ριτ[]αν []      []νος — — —      — — —"
IG I²,934,1812,"[ ]
Att. — Ath.: Agora — 4th c. BC — Ag.17.544; IG I³, p.973",Athens,400,301,FALSE,TRUE,TRUE,400,400,400,— —εας ⋮ Μεγαρεες ⋮ Ονομαστος
IG I²,"1070,2",1819,"[ ]
Att. — Ath.: Od.Mouson — 4th c. BC — IG I³, p.973",Athens,400,301,FALSE,TRUE,TRUE,400,400,400,Ιππαινος Πεισανοριδας Αρισστων Παληες
IG I²,1071,1820,"[ ]
Att. — Ath.: Kerameikos — 4th c. BC — IG I³, p.973",Athens,400,301,FALSE,TRUE,TRUE,400,400,400,Αριστοδημος
IG I²,1072,1821,"[ ]
Att. — Ath.: Kerameikos — 4th c. BC — IG I³, p.973",Athens,400,301,FALSE,TRUE,TRUE,400,400,400,Μυρτιλος Πρασιευς
IG II²,113,2331,"[ ]
Att. — stoich. 19 — 362/1

See also:
IG II³,1 363Schwenk, Athens 60SEG 39:91",Athens,362,361,FALSE,TRUE,TRUE,400,400,400,θεοι         []οτελεια — — — ι και Φανοστρα[] — — — ιοις αυτοις και []             []ος αρχ[][]ιον[][]ας ․․․․․․
IG II²,139,2357,"[ ]
Att. — stoich. 26 — 353/2

See also:
Schwenk, Athens 87SEG 39:75",Athens,353,352,FALSE,TRUE,TRUE,400,400,400,"επι Θου[] () τει βουλη[]ις επρυταν[]θεο Παλλην[] εστρατος Λ[], Τιμωνιδης []· εψηφισθαι [][]ος οι αν λ[] []μ πρωτη[][]νωμ[][]ς ε[]"
