ig_book,ig_no,phi_no,header,location,tqp,taq,cross_cen,tpq_bce,taq_bce,tpq_cen,taq_cen,analysis_cen,token,data_type,simplex
IG II²,351,2568,"[ ]
Att. — stoich. 19-25 — 330/29 — IG II² 351 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 352Schwenk, Athens 48SEG 21:283SEG 24:99",Athens,330,329,FALSE,TRUE,TRUE,400,400,400,γης,η,1
IG II²,360,2577,"[ ]
Att. — stoich. 39 — 325/4 — IG II² 360 Add. (pt. 1.2 p. 660)

See also:
IG II³,1 367Schwenk, Athens 68",Athens,325,324,FALSE,TRUE,TRUE,400,400,400,γης,η,1
IG II²,1672,3897,"[ ]
Att. — stoich. 81 — 329/8 — IG II² 1672 Add. (pt. 2.2 p. 812)

See also:
I.Eleusis 177SEG 34:121SEG 45:153",Eleusis,329,328,FALSE,TRUE,TRUE,400,400,400,γην,η,1
IG II²,1672,3897,"[ ]
Att. — stoich. 81 — 329/8 — IG II² 1672 Add. (pt. 2.2 p. 812)

See also:
I.Eleusis 177SEG 34:121SEG 45:153",Eleusis,329,328,FALSE,TRUE,TRUE,400,400,400,γης,η,1
IG II²,1672,3897,"[ ]
Att. — stoich. 81 — 329/8 — IG II² 1672 Add. (pt. 2.2 p. 812)

See also:
I.Eleusis 177SEG 34:121SEG 45:153",Eleusis,329,328,FALSE,TRUE,TRUE,400,400,400,γης,η,1
IG II²,1682,3908,"[ ]
Att. — stoich. 49 — 289/8

See also:
I.Eleusis 141",Eleusis,289,288,FALSE,TRUE,TRUE,300,300,300,γην,η,1
IG VII,2,143478,"[ ]
Megaris — Megara — after 306 BC",Megara,306,NA,NA,TRUE,TRUE,400,NA,400,γας,α,1
IG VII,3,143479,"[ ]
Megaris — Megara — after 306 BC",Megara,306,NA,NA,TRUE,TRUE,400,NA,400,γας,α,1
IG VII,21,143497,"[ ]
Megaris — Megara — early 2nd c. BC",Megara,200,150,FALSE,TRUE,TRUE,200,200,200,γαν,α,1
IG VII,213,143690,"[ ]
Megaris — Aigosthena — 219-198 BC",Aigosthena,219,198,TRUE,TRUE,TRUE,300,200,300,γαν,α,1
IG VII,223,143700,"[ ]
Megaris — Aigosthena — 192-146 BC",Aigosthena,192,146,FALSE,TRUE,TRUE,200,200,200,γας,α,1
IG VII,237,143714,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 237",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γης,η,1
IG VII,237,143714,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 237",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γην,η,1
IG VII,239,143716,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 239",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γης,η,1
IG VII,239,143716,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 239",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γην,η,1
IG VII,240,143717,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 240",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γης,η,1
IG VII,240,143717,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 240",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γην,η,1
IG VII,241,143718,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 241",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γης,η,1
IG VII,241,143718,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 241",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γην,η,1
IG VII,242,143719,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 242",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γης,η,1
IG VII,242,143719,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 242",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γην,η,1
IG VII,245,143722,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 245",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γης,η,1
IG VII,245,143722,"[ ]
Boiotia — Oropos (Skala) — Amphiareion — ca. 240-180 BC — IG VII 245",Oropos,240,180,TRUE,TRUE,TRUE,300,200,300,γην,η,1
